ticker,exchange,sector,country,market_cap,composite_label,justificacion_tipo,spot,zona_min,zona_max,zona_centro,distancia_pct,score_soporte,n_elementos,elementos_score,confirmador_dinamico,rsi_diario,rsi_semanal,macd_estado,momentum_score,sma50w_sobre_sma200w,hv_percentile_52w,price_target_consensus,price_target_upside_pct,recommendation_mean,recommendation_buy_ratio,downgrades_6w,earnings_date,dias_a_earnings,earnings_en_45d,ex_div_date,dias_a_ex_div,ex_div_en_45d,ex_div_amount,eventos_macro_en_45d,eventos_macro_count,tiene_eventos_binarios,flags_legibles,fetched_at,universes,momentum_signals,strike_aggressive,strike_natural,strike_conservative,regime,primary_trigger,triggers,wheel_candidate
AC.PA,PAR,Consumer Cyclical,France,10668273664,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,48.349998474121094,44.25766894818842,46.02201822340758,45.139843585798,0.0481485072219712,20.9,14,AVWAP_52w_high | SMA200D | SMA50D | EMA200D | SMA50W | HVN | EMA50D | POLARIDAD | FIB_786 | POLARIDAD | GAP | POLARIDAD | POLARIDAD | FIB_618,True,64.0868702010199,57.73047599139957,subiendo_positivo,1,True,60.71428571428571,55.2875,0.14348504125790496,1.4375,0.875,0,2026-07-30,43,True,,,False,,True,3,True,Earnings en 43 días (2026-07-30),2026-06-17T11:40:05.077359,stoxx600,,47.0,45.0,43.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
CCEP,NMS,Consumer Defensive,United Kingdom,43254890496,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,99.23999786376953,92.32592863308666,95.81314308421042,94.06953585864855,0.03453098401174171,20.2,16,POLARIDAD | POLARIDAD | FIB_618 | SMA200D | EMA200D | POLARIDAD | POLARIDAD | SMA50W | POLARIDAD | POLARIDAD | SMA50D | EMA50D | AVWAP_pivot_low | POLARIDAD | GAP | AVWAP_52w_high,True,65.12264190059952,55.83657175537968,subiendo_positivo,1,True,53.17460317460318,106.66301,0.07479859226136143,1.75,0.6666666666666666,0,,,False,,,False,,True,3,True,,2026-06-17T11:40:05.388602,nasdaq100,,97.0,94.0,90.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
CS.PA,PAR,Financial Services,France,83077685248,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,42.380001068115234,39.51023503742218,40.01816423931122,39.7641996383667,0.05572998511746036,18.0,8,POLARIDAD | HVN | SMA200D | AVWAP_52w_high | FIB_786 | EMA200D | POLARIDAD | SMA50W,True,69.16386340609662,58.39134174608639,subiendo_positivo,1,True,36.507936507936506,46.47659,0.09666325692867561,1.78947,0.7894736842105263,0,,,False,,,False,,True,3,True,,2026-06-17T11:40:05.390180,stoxx600,,42.0,40.0,39.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AIR.PA,PAR,Industrials,Netherlands,138992992256,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,188.32000732421875,174.1114216321558,179.04629061874166,176.57885612544874,0.04924445807561545,17.4,10,SMA50D | FIB_618 | AVWAP_earnings | EMA50D | POLARIDAD | HVN | GAP | AVWAP_pivot_low | POLARIDAD | AVWAP_52w_high,True,64.95654079567836,55.03105115522637,subiendo_positivo,1,True,75.39682539682539,209.74217,0.11375404546846712,1.91304,0.6521739130434783,0,2026-07-29,42,True,,,False,,True,3,True,Earnings en 42 días (2026-07-29),2026-06-17T11:40:05.109750,stoxx600,,182.5,177.5,167.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
DTE,NYQ,Utilities,United States,30328446976,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,148.85000610351562,139.6910588154602,142.19094405319214,140.94100143432615,0.044736726753592033,15.0,10,SMA50W | SMA200D | POLARIDAD | EMA200D | POLARIDAD | HVN | POLARIDAD | FIB_786 | HVN | POLARIDAD,True,60.54600160881908,58.45233286883345,subiendo_positivo,1,True,83.33333333333334,159.25,0.0698689517637765,1.82353,0.6470588235294118,0,,,False,,,False,,True,3,True,,2026-06-17T11:40:05.329278,sp500,,145.0,140.0,137.5,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BATS.L,LSE,Consumer Defensive,United Kingdom,99422339072,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,4507.4169921875,4214.096946533203,4290.252174560547,4252.174560546875,0.048179438024783285,15.0,6,POLARIDAD | EMA200D | SMA50W | SMA200D | HVN | POLARIDAD,True,46.99368139617712,52.81680109820858,subiendo_negativo,1,True,57.14285714285714,5027.273,0.11533346231634267,1.81818,0.7272727272727273,0,,,False,,,False,,True,3,True,,2026-06-17T11:40:35.055408,stoxx600,,4300.0,4300.0,4000.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
EVRG,NMS,Utilities,United States,19088783360,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,83.97000122070312,76.79727551971435,78.25007372344972,77.52367462158203,0.06811870208527683,15.0,6,HVN | SMA50W | POLARIDAD | POLARIDAD | EMA200D | SMA200D,True,56.86555734891856,59.432110368969745,subiendo_positivo,1,True,71.42857142857143,90.45833,0.07726960444174868,2.0,0.5714285714285714,0,2026-08-06,50,False,,,False,,True,3,True,,2026-06-17T11:40:05.389650,sp500,,83.0,78.0,75.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BX,NYQ,Financial Services,United States,144813604864,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,127.87000274658203,119.72840842640608,122.1737528231785,120.9510806247923,0.0445471948154454,13.7,6,AVWAP_earnings | EMA50D | POLARIDAD | SMA50D | GAP | HVN,True,62.60171039616444,50.2504935518634,subiendo_positivo,1,True,86.5079365079365,143.45,0.1218424721886886,2.04545,0.5454545454545454,0,2026-07-23,36,True,,,False,,True,3,True,Earnings en 36 días (2026-07-23),2026-06-17T11:40:05.108596,sp500,,122.5,120.0,115.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
CCL,NYQ,Consumer Cyclical,United States,38950125568,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,30.899999618530273,28.351630804667472,28.686919314732553,28.519275059700014,0.0716207226899307,13.5,4,SMA200D | POLARIDAD | HVN | SMA50W,True,66.22646823812225,58.232297963562786,subiendo_positivo,1,True,87.3015873015873,34.63333,0.12081975493717811,1.53571,0.8214285714285714,0,,,False,,,False,,True,3,True,,2026-06-17T11:40:05.299038,sp500,,30.0,29.0,27.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
FITB,NYQ,Financial Services,United States,48034512896,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,53.439998626708984,48.6604040851593,50.529594541549685,49.59499931335449,0.05446115568769303,13.4,10,POLARIDAD | AVWAP_52w_high | FIB_786 | HVN | SMA50D | EMA50D | FIB_618 | AVWAP_earnings | POLARIDAD | POLARIDAD,True,62.37792315363823,60.634503353765254,bajando_positivo,0,True,76.5873015873016,57.5,0.07597308154236848,1.7,0.75,0,,,False,,,False,,True,3,True,,2026-06-17T11:40:05.560358,sp500,,52.0,50.0,47.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
ASSA-B.ST,STO,Industrials,Sweden,368111255552,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,344.70001220703125,329.4747153338928,333.51148699765014,331.49310116577146,0.03245873168887833,11.9,4,FIB_618 | POLARIDAD | AVWAP_pivot_low | HVN,True,58.69083673351999,48.66475763511751,subiendo_positivo,2,True,46.03174603174603,401.2857,0.16415922770255853,1.95455,0.6363636363636364,0,2026-07-17,30,True,,,False,,True,3,True,Earnings en 30 días (2026-07-17),2026-06-17T11:40:05.106026,stoxx600,,336,330,321,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
AEP,NMS,Utilities,United States,69933817856,Uptrend: Pullback en tendencia + divergencia,Uptrend: Pullback en tendencia + divergencia,129.75,122.59437747088242,125.25064109143447,123.92250928115845,0.03467713995040868,10.5,8,SMA200D | POLARIDAD | GAP | EMA200D | DIVERGENCIA | POLARIDAD | POLARIDAD | FIB_786,True,51.931899759988966,53.524250118943705,subiendo_positivo,1,True,67.46031746031747,144.33333,0.11239560693641604,1.95833,0.5833333333333334,0,2026-07-30,43,True,,,False,,True,3,True,Earnings en 43 días (2026-07-30),2026-06-17T11:40:34.887913,nasdaq100|sp500,both,127.5,125.0,120.0,uptrend,pullback_in_uptrend,pullback_in_uptrend|bullish_divergence,0
CHRW,NMS,Industrials,United States,22526715904,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,189.39999389648438,174.71444030216938,179.29347823294918,177.00395926755928,0.053360696880797455,5.8,6,AVWAP_earnings | FIB_786 | AVWAP_52w_high | SMA50D | EMA50D | FIB_618,True,58.866490529006235,59.85460819700713,bajando_positivo,0,True,54.36507936507936,197.04167,0.04034676003047899,1.875,0.7083333333333334,1,,,False,,,False,,True,3,True,,2026-06-17T11:40:05.331382,sp500,,182.5,177.5,167.5,uptrend,pullback_in_uptrend,pullback_in_uptrend|post_earnings_dip,0
FE,NYQ,Utilities,United States,26995382272,Uptrend: Pullback en tendencia,Uptrend: Pullback en tendencia,47.70000076293945,43.5456870331955,44.678711541633604,44.112199287414555,0.06333939565999425,5.4,5,HVN | POLARIDAD | POLARIDAD | POLARIDAD | HVN,True,61.41484558260256,51.75530964038303,subiendo_positivo,1,True,75.79365079365078,52.15385,0.09337209991243789,2.17647,0.5294117647058824,0,,,False,,,False,,True,3,True,,2026-06-17T11:40:05.473679,sp500,,47.0,44.0,43.0,uptrend,pullback_in_uptrend,pullback_in_uptrend,0
BXP,NYQ,Real Estate,United States,11675832320,Downtrend: Doble piso confirmado,Downtrend: Doble piso confirmado,65.7300033569336,59.13487400476074,61.51994850500488,60.32741125488281,0.06405073234314096,11.6,8,HVN | SMA50D | POLARIDAD | FIB_786 | EMA50D | POLARIDAD | AVWAP_earnings | FIB_618,True,68.17795870105085,59.623038416107704,bajando_positivo,0,False,46.82539682539682,69.3,0.054313045196122234,2.18182,0.5,0,2026-07-28,41,True,,,False,,True,3,True,Earnings en 41 días (2026-07-28),2026-06-17T11:40:43.672885,sp500,,64.0,60.0,58.0,downtrend,double_bottom_confirmed,double_bottom_confirmed,0
BAYN.DE,GER,Healthcare,Germany,35553927168,Downtrend: Doble piso en formación,Downtrend: Doble piso en formación,37.38999938964844,35.24605408699676,36.079412351749646,35.6627332193732,0.03505180688132433,8.6,4,AVWAP_pivot_low | SMA200D | EMA200D | HVN,True,54.072510113670894,50.46878777263553,subiendo_positivo,1,False,32.93650793650794,49.5,0.3238834128920649,1.89474,0.7368421052631579,0,2026-08-04,48,False,,,False,,True,3,True,,2026-06-17T11:40:05.106997,stoxx600,,36.0,36.0,34.0,downtrend,double_bottom_unconfirmed,double_bottom_unconfirmed,0
